,Country,Region,Year,Water Source Type,Water Treatment Method,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Lead Concentration (µg/L),Bacteria Count (CFU/mL),Access to Clean Water (% of Population),"Diarrheal Cases per 100,000 people"
22,Ethiopia,North,2019,Lake,Filtration,5.06,6.04,3.18,9.93,28.88,12.35,4697,31.08,479
23,Bangladesh,West,2020,Spring,Boiling,7.17,7.34,3.91,4.7,14.88,19.45,2390,93.75,219
24,Pakistan,West,2005,Tap,Chlorination,8.33,7.4,2.66,8.87,27.09,14.24,1419,77.36,261
25,USA,North,2004,Lake,Filtration,7.43,6.96,3.12,6.29,47.67,18.66,3917,53.3,29
26,Ethiopia,South,2000,Lake,Filtration,8.47,6.67,4.94,6.04,15.59,19.83,3835,91.68,438
27,China,West,2018,Spring,,0.64,7.63,2.19,5.06,15.47,8.57,4428,42.81,411
28,Mexico,Central,2000,Lake,,0.32,6.34,0.33,8.42,24.14,3.01,4450,35.51,316
29,Brazil,West,2020,River,Chlorination,2.59,7.3,4.79,9.16,25.77,3.92,3630,95.98,76
30,Pakistan,Central,2020,River,Chlorination,9.01,7.92,3.97,4.83,0.07,6.37,4942,51.63,182
31,China,North,2015,Pond,,8.24,6.41,1.99,3.67,30.79,10.18,162,95.52,365
32,Nigeria,North,2011,Well,,6.83,7.88,4.91,3.96,49.87,2.45,115,74.63,291
33,China,West,2021,Lake,Chlorination,7.01,7.9,1.73,8.55,14.6,6.03,1470,98.6,457
34,Mexico,East,2007,Well,,7.27,6.15,1.86,6.05,31.54,6.16,3079,82.74,201
35,Nigeria,Central,2015,Tap,Filtration,9.43,6.05,3.05,3.92,0.23,0.08,3852,37.38,388
36,Pakistan,South,2000,River,Chlorination,8.32,8.43,1.37,5.38,30.22,7.08,2838,89.66,156
37,Mexico,West,2003,Pond,,6.23,6.48,3.49,6.6,22.35,2.32,542,40.35,99
38,India,South,2009,Tap,Boiling,6.66,8.06,0.76,8.96,26.51,8.59,413,78.45,395
39,Brazil,West,2010,Pond,Boiling,2.14,7.4,0.54,7.49,27.2,3.93,681,65.03,121
40,Pakistan,East,2016,Spring,Chlorination,6.57,6.66,2.67,4.23,8.85,16.44,641,79.54,405
41,India,East,2024,River,Boiling,4.25,6.32,2.78,4.11,38.5,1.61,3978,83.55,314
42,Ethiopia,East,2022,Tap,Boiling,1.53,7.24,0.53,5.89,27.77,17.31,1432,86.26,109
43,Pakistan,East,2006,Spring,Filtration,8.06,7.02,4.82,3.53,13.51,11.61,668,88.45,166
44,Ethiopia,North,2011,Tap,Chlorination,5.1,7.75,2.87,8.29,46.87,9.17,2069,89.31,129
45,Nigeria,North,2020,Pond,Boiling,9.77,8.26,0.76,5.81,0.64,10.99,968,58.88,269
46,India,Central,2006,Spring,,2.82,8.01,1.56,5.4,36.3,7.52,1180,92.25,137
47,Brazil,South,2011,Spring,Chlorination,4.81,6.69,4.0,6.56,19.06,2.55,4819,80.37,175
48,Mexico,West,2014,River,Chlorination,4.48,8.2,2.62,7.96,26.13,15.32,3235,88.73,63
49,Indonesia,West,2001,Well,Boiling,1.21,8.08,0.94,6.99,14.58,18.56,251,99.24,130
50,China,North,2013,Pond,Boiling,4.26,8.32,0.51,8.62,16.06,19.0,4300,38.15,327
51,USA,West,2012,Pond,Filtration,2.88,7.15,2.15,7.41,0.76,13.41,2879,55.94,187
52,Brazil,North,2003,Spring,,1.6,7.92,1.69,8.52,36.49,8.21,3998,86.46,464
53,India,Central,2013,Spring,Filtration,2.82,7.48,3.28,7.88,35.54,9.57,790,36.04,451
54,Indonesia,South,2013,River,Filtration,2.33,6.78,4.63,4.35,32.72,13.14,4560,67.85,276
55,Brazil,Central,2015,Well,,7.34,8.49,1.24,3.37,43.9,16.46,1495,90.09,349
56,India,East,2006,Pond,Boiling,0.31,6.1,4.28,9.32,45.06,7.49,4489,31.33,146
57,Bangladesh,East,2018,Lake,Filtration,6.17,6.41,4.6,9.62,27.82,18.34,3068,95.77,334
58,Bangladesh,East,2001,Lake,Chlorination,7.61,8.23,4.51,8.09,34.24,6.49,2707,98.47,19
59,Ethiopia,Central,2009,Well,Filtration,4.81,6.15,4.76,8.07,0.55,10.62,2577,52.56,313
60,Brazil,West,2017,Tap,,9.32,8.22,4.21,4.89,42.32,19.23,1235,83.68,41
61,Bangladesh,South,2016,River,Filtration,7.08,7.79,2.97,6.8,40.82,18.76,1058,38.9,349
62,India,East,2004,Well,Filtration,7.48,6.09,2.05,9.95,1.01,13.91,1170,84.1,393
63,Ethiopia,East,2011,Lake,Chlorination,1.97,7.07,2.46,8.99,27.14,6.49,3618,63.71,406
64,India,East,2005,Spring,,7.77,7.89,4.36,5.13,45.33,4.38,3659,90.22,343
65,Ethiopia,South,2021,Lake,Chlorination,8.32,7.46,1.51,5.11,9.07,1.6,3655,44.88,139
66,Brazil,East,2008,Spring,Boiling,3.61,8.34,0.8,6.39,17.63,14.17,56,77.09,8
67,Indonesia,South,2019,River,,2.13,8.17,0.7,5.83,16.55,10.07,1892,85.03,78
68,Mexico,East,2000,Spring,Filtration,3.85,6.83,4.13,5.6,17.8,11.45,2569,44.17,412
69,Pakistan,Central,2021,Well,Chlorination,7.4,6.21,3.81,7.39,2.09,9.45,4080,87.28,337
70,Indonesia,Central,2014,Spring,Chlorination,4.18,8.36,2.49,3.08,13.95,9.66,4456,97.06,147
71,Nigeria,South,2020,Tap,,7.37,7.29,1.37,8.34,14.74,11.43,1948,73.13,192
72,India,Central,2005,Well,Chlorination,1.14,6.19,3.39,8.18,43.29,18.29,222,84.94,258
73,Nigeria,South,2018,River,,8.06,8.04,0.19,8.81,17.61,0.59,1639,67.28,135
74,Indonesia,Central,2017,Well,Boiling,2.53,8.17,2.84,8.89,22.36,16.03,4422,71.87,38
75,Ethiopia,Central,2005,Tap,,2.49,7.6,1.99,6.96,19.04,7.81,1757,30.93,319
76,Pakistan,South,2012,River,,5.9,7.12,4.89,8.46,6.03,14.9,835,66.7,286
77,Pakistan,West,2000,Lake,Boiling,0.7,7.66,2.54,6.45,49.52,18.97,2536,70.29,366
78,USA,Central,2022,Tap,Boiling,0.26,7.77,2.76,9.66,41.29,6.13,2525,76.9,455
79,Pakistan,East,2022,River,Filtration,2.61,8.23,3.56,4.33,27.05,1.79,984,41.86,462
80,Mexico,West,2012,Spring,Chlorination,5.38,8.39,2.42,9.41,23.82,4.65,1357,46.9,378
81,Pakistan,South,2006,Well,Boiling,9.08,7.29,1.12,4.81,32.46,4.44,4887,82.92,149
82,Indonesia,West,2014,River,Boiling,8.46,8.0,2.69,3.72,16.32,14.84,3060,41.73,351
83,USA,North,2011,Well,Chlorination,4.9,8.41,4.72,6.07,2.51,1.24,4477,59.12,4
84,Indonesia,North,2000,Spring,Chlorination,0.37,6.38,2.05,7.3,20.22,1.02,1446,47.53,235
85,Indonesia,Central,2014,River,Filtration,5.35,6.05,3.4,4.62,49.2,13.87,1371,68.16,235
86,China,Central,2003,Lake,Filtration,7.05,8.17,4.89,6.89,9.12,11.13,3224,99.08,313
87,USA,East,2012,Tap,,3.39,6.49,4.15,8.66,26.39,8.36,1874,89.64,456
88,Indonesia,West,2022,River,Filtration,1.11,6.11,3.3,4.8,0.43,11.51,2499,48.86,104
89,China,North,2024,Spring,Boiling,2.79,6.4,3.68,7.06,6.1,14.7,3361,55.8,206
90,China,Central,2004,River,Boiling,7.72,6.96,4.68,5.38,29.36,2.07,1142,94.3,238
91,USA,West,2001,Well,Chlorination,3.51,6.55,4.8,6.71,14.87,11.07,4309,92.88,318
92,Nigeria,Central,2022,Pond,Filtration,8.12,6.76,4.84,7.67,45.28,16.49,564,41.24,316
93,Ethiopia,Central,2000,River,,3.2,8.44,3.13,5.45,20.31,7.25,4827,88.05,51
94,Mexico,North,2015,Lake,,1.64,7.76,1.92,9.96,10.4,15.26,4534,50.83,107
95,Ethiopia,North,2022,River,,4.36,7.78,0.67,6.95,27.28,16.91,1588,68.07,356
96,Pakistan,Central,2005,Tap,,4.52,6.24,1.93,8.77,39.75,16.42,3985,30.36,32
97,Mexico,South,2022,River,Chlorination,0.16,7.83,4.71,8.08,0.97,13.01,4724,99.9,21
98,Pakistan,Central,2015,Pond,Filtration,1.17,7.85,4.45,8.97,25.28,14.35,4998,83.28,306
99,Indonesia,Central,2013,Well,Filtration,1.85,7.65,2.62,4.22,38.67,15.75,1470,46.92,10
100,India,East,2002,River,Filtration,1.14,6.57,2.69,4.56,5.18,14.67,3914,77.87,126
101,USA,East,2014,Lake,Filtration,3.42,7.06,1.54,6.41,45.14,9.03,3113,50.53,441
102,Mexico,East,2002,Spring,,9.65,8.12,2.27,8.97,13.23,3.18,4490,36.26,49
103,Mexico,South,2022,River,,5.09,7.68,3.57,4.38,8.53,6.19,4342,59.77,197
104,Indonesia,South,2001,River,Chlorination,6.28,7.83,2.01,9.8,29.46,4.14,3362,72.96,16
105,Nigeria,Central,2000,Tap,Chlorination,3.56,7.47,0.94,3.89,8.75,7.23,1636,36.28,429
106,China,East,2008,Lake,,3.23,7.12,2.7,4.23,33.99,9.79,2912,66.29,43
107,Indonesia,South,2008,Pond,Boiling,0.23,7.9,1.13,4.17,24.51,19.18,1472,66.04,184
108,Bangladesh,North,2022,Spring,Filtration,5.0,6.17,4.87,7.1,5.5,19.19,1244,74.01,388
109,China,Central,2006,Well,Chlorination,4.84,7.68,1.95,9.42,45.62,15.39,3737,47.13,38
110,USA,West,2002,River,,1.58,8.49,4.55,4.79,33.66,19.6,2098,31.44,441
111,China,Central,2017,Pond,Filtration,7.64,7.95,1.13,6.87,27.3,19.96,2597,52.74,495
112,Nigeria,West,2010,Spring,Filtration,4.93,6.73,0.95,4.23,18.72,17.71,2512,57.9,136
113,China,East,2006,Well,,3.39,6.69,3.08,7.42,6.74,1.59,4514,74.5,476
114,USA,West,2008,Pond,Boiling,1.47,7.67,3.9,3.86,35.38,8.52,258,95.11,278
115,Nigeria,East,2000,Lake,Boiling,5.52,8.24,2.83,6.44,40.68,10.68,2358,44.24,430
116,Ethiopia,North,2013,Lake,Chlorination,7.53,7.44,1.15,7.59,6.29,2.48,3393,78.11,163
117,Mexico,West,2019,Spring,,2.82,7.32,0.19,7.05,24.73,16.17,3778,36.82,30
118,Mexico,Central,2005,Well,Chlorination,2.19,6.4,3.09,3.98,24.24,2.97,3411,43.34,339
119,Pakistan,East,2006,Lake,Boiling,5.22,7.79,0.66,4.13,17.5,7.67,1268,65.64,22
120,Ethiopia,Central,2009,Spring,Chlorination,1.55,7.76,1.72,7.7,39.47,1.38,939,79.59,439
121,Ethiopia,South,2006,Lake,Chlorination,6.67,8.42,3.38,8.66,4.98,10.49,2376,90.1,198
122,China,East,2001,Lake,Boiling,6.05,6.75,0.49,9.36,10.25,11.94,3951,82.07,173
123,Mexico,West,2003,Pond,Filtration,0.87,7.89,0.64,8.7,0.08,14.7,195,31.07,57
124,USA,East,2020,Pond,Filtration,0.37,7.09,0.31,9.82,18.65,6.79,4157,77.88,419
125,Brazil,Central,2016,Lake,Boiling,6.2,7.4,4.98,5.86,14.56,11.81,3096,87.73,195
126,Brazil,North,2000,Tap,Filtration,2.94,8.04,1.94,5.32,43.35,14.68,3635,66.79,87
127,Nigeria,East,2009,Pond,,0.86,6.55,4.53,3.2,37.29,15.24,561,97.59,443
128,Mexico,West,2018,Well,Filtration,7.59,6.86,1.47,6.15,4.22,6.03,3449,30.3,141
129,Mexico,South,2014,Spring,Boiling,3.14,7.93,3.77,7.56,37.05,1.35,3366,87.31,280
130,Brazil,North,2009,Spring,,4.6,7.43,1.1,8.71,33.77,0.75,3123,53.44,454
131,Mexico,South,2018,Well,Chlorination,2.37,6.23,2.49,4.87,14.09,15.36,2891,75.53,206
132,China,East,2011,Well,Boiling,6.27,7.08,4.12,6.6,0.77,7.71,39,78.54,171
133,Bangladesh,Central,2023,Well,Boiling,3.01,7.47,4.08,7.63,5.76,2.68,1767,51.44,301
134,India,Central,2015,Well,Filtration,9.68,8.27,3.97,6.86,12.5,3.69,2504,99.68,396
135,Ethiopia,West,2008,River,,7.03,6.47,4.12,4.92,40.83,15.32,787,37.23,317
136,Pakistan,Central,2014,Spring,Boiling,1.37,8.01,1.06,8.57,23.27,11.98,1876,40.99,274
137,Nigeria,North,2016,River,,4.17,6.33,2.41,4.21,45.92,10.03,4097,92.45,395
138,Bangladesh,Central,2013,Lake,,3.85,6.61,2.42,9.33,39.46,12.46,1492,38.34,367
139,Brazil,West,2017,Lake,Filtration,5.34,6.61,4.45,9.67,14.36,2.75,1129,56.69,345
140,Ethiopia,East,2001,Spring,Boiling,8.42,8.19,1.48,5.56,42.27,6.38,2263,81.32,47
141,Mexico,East,2003,Lake,,5.83,6.5,4.66,5.63,5.84,7.48,4872,85.4,160
142,Pakistan,Central,2017,Well,,0.62,7.97,2.25,8.2,1.81,6.29,4509,96.83,462
143,Mexico,South,2006,River,Chlorination,6.55,7.15,3.35,6.19,30.43,17.29,4021,85.27,164
144,USA,East,2012,Well,Filtration,0.08,8.5,1.34,3.2,17.09,11.63,4305,89.12,389
145,USA,Central,2014,Lake,Boiling,7.8,8.1,2.05,9.44,16.47,14.59,2185,96.46,378
146,Pakistan,West,2024,Pond,,6.67,7.85,3.55,6.02,34.36,4.73,1644,68.76,216
147,Pakistan,Central,2022,River,Filtration,3.09,8.18,2.56,4.42,42.51,5.28,3560,54.04,116
148,Brazil,East,2021,Well,Boiling,2.92,7.59,4.65,6.89,16.11,4.51,2685,83.31,336
149,Pakistan,West,2000,Spring,,7.98,8.11,3.69,4.53,16.25,13.76,4821,41.45,426
150,China,Central,2010,Well,Boiling,7.83,6.65,2.82,4.44,26.69,6.98,1412,34.78,250
151,Mexico,North,2009,Pond,Boiling,3.52,6.24,4.43,6.82,32.66,8.1,1221,84.97,355
152,Bangladesh,West,2024,Lake,Filtration,2.99,7.54,3.33,5.74,10.15,14.18,2249,96.55,433
153,Indonesia,North,2004,River,Filtration,5.6,7.09,3.24,7.01,45.63,19.44,2239,60.97,243
154,Pakistan,South,2015,Spring,Chlorination,0.08,7.07,1.23,9.98,32.72,3.24,4202,41.28,429
155,Nigeria,West,2010,River,Chlorination,0.83,7.32,1.97,9.01,31.26,1.25,4422,64.79,246
156,USA,North,2020,Spring,Chlorination,1.26,6.9,3.42,3.05,45.21,3.9,643,57.53,72
157,China,East,2005,River,,1.85,7.57,4.46,3.35,45.36,14.7,4452,56.07,283
158,Ethiopia,East,2008,Lake,Chlorination,5.12,6.08,1.58,7.27,6.78,3.89,2548,73.97,482
159,Indonesia,South,2012,Spring,Boiling,9.92,8.42,1.08,7.38,7.25,11.69,4603,42.23,194
160,Bangladesh,West,2023,Tap,Filtration,6.53,8.31,2.97,9.15,38.1,11.81,3805,56.63,266
161,Indonesia,West,2007,River,Boiling,0.61,8.34,0.34,7.4,47.84,5.89,4290,90.81,403
162,Pakistan,West,2013,River,Filtration,5.26,6.91,3.57,4.59,33.33,1.37,4142,81.08,86
163,Brazil,South,2023,Well,Filtration,4.97,7.33,3.52,6.28,20.57,7.98,1385,33.89,245
164,USA,West,2000,Spring,Boiling,1.44,8.39,1.77,8.66,34.17,3.74,2584,65.97,157
165,USA,East,2016,Pond,Boiling,9.2,8.26,4.46,9.46,11.44,3.69,1601,36.39,356
166,Ethiopia,North,2023,Tap,,4.41,7.98,2.51,4.66,49.9,10.45,4942,97.02,35
167,Brazil,East,2004,Lake,Filtration,9.95,7.02,3.23,6.78,21.55,13.46,4804,47.12,235
168,Mexico,East,2024,Well,Chlorination,4.2,7.41,1.05,4.11,46.58,1.51,3317,95.28,247
169,India,North,2001,Tap,,6.08,7.98,2.09,6.48,21.54,11.57,807,88.38,459
170,China,East,2024,Spring,Chlorination,1.05,6.68,4.31,3.63,46.41,4.92,2659,68.6,99
171,USA,South,2023,Tap,,4.54,7.57,1.06,9.59,16.78,13.47,114,53.54,226
172,Nigeria,North,2008,River,Filtration,2.39,8.07,1.95,7.47,38.03,16.2,2727,90.06,118
173,USA,East,2003,River,Boiling,8.36,7.77,1.59,8.98,47.55,16.14,4726,40.69,353
174,Indonesia,Central,2016,Well,Boiling,7.84,7.2,0.76,9.99,32.3,7.4,2266,42.6,195
175,USA,East,2016,Spring,Filtration,8.24,7.46,1.45,4.28,33.88,11.35,4292,45.73,87
176,USA,South,2020,Spring,Boiling,7.24,8.47,1.16,7.86,5.14,15.87,4496,71.84,35
177,India,West,2017,Tap,Filtration,8.33,7.5,4.62,9.21,23.71,1.22,3901,52.0,313
178,India,East,2015,Well,Filtration,2.01,7.96,3.71,7.03,44.34,12.11,2728,99.24,27
179,Bangladesh,West,2007,Spring,Filtration,4.52,7.82,1.58,7.48,12.05,16.73,4171,43.66,38
180,Mexico,Central,2010,Pond,,6.92,7.75,3.82,5.85,39.42,7.45,1449,86.39,321
181,Nigeria,East,2020,Pond,Boiling,6.37,7.79,0.11,7.72,33.79,9.11,4382,36.71,426
182,USA,North,2020,River,,7.16,7.14,2.63,5.77,11.15,13.97,1568,54.74,4
183,USA,West,2017,Tap,Chlorination,2.24,7.19,1.25,6.34,14.14,1.36,1322,47.06,475
184,China,Central,2022,Lake,Filtration,0.98,7.17,0.57,3.72,21.38,7.71,860,98.38,140
185,India,North,2023,River,Boiling,9.17,6.08,4.42,3.05,6.26,5.91,741,31.8,227
186,Nigeria,North,2009,Well,Chlorination,5.6,6.6,1.0,3.39,45.67,0.34,1730,80.52,8
187,Ethiopia,North,2012,Spring,Filtration,1.54,6.39,4.11,4.35,36.97,3.92,4904,47.34,358
188,Bangladesh,North,2016,River,Chlorination,7.93,8.22,2.07,6.2,18.25,7.92,2933,86.79,477
189,Mexico,East,2017,Lake,,9.15,6.69,0.07,3.15,14.98,3.95,3518,51.79,56
190,Brazil,East,2009,Lake,,1.7,6.35,3.66,4.09,34.48,12.05,4509,43.11,282
191,Mexico,East,2015,Pond,Boiling,8.17,6.3,2.98,8.47,21.21,8.97,4526,78.51,444
192,Indonesia,Central,2019,Well,Chlorination,9.33,7.75,1.72,8.34,11.47,0.79,3167,48.03,460
193,USA,Central,2004,River,Chlorination,9.38,6.02,1.41,8.53,21.51,5.5,1918,63.99,489
194,Bangladesh,Central,2012,Tap,,9.14,7.18,0.37,9.45,43.56,0.39,2218,39.21,358
195,Indonesia,South,2017,River,,5.46,6.3,4.71,3.83,3.43,7.16,1340,80.72,177
196,Nigeria,Central,2016,Pond,Boiling,3.56,8.12,2.47,4.14,18.42,5.18,4639,58.48,475
197,Brazil,East,2008,Lake,Filtration,0.07,8.4,0.43,5.33,48.12,13.76,1514,39.84,81
198,India,East,2013,Well,Boiling,0.61,8.4,4.34,9.41,0.74,6.15,1411,81.91,417
199,Bangladesh,South,2016,Well,,4.29,7.1,1.39,8.43,44.53,7.5,3036,37.24,84
200,Bangladesh,South,2003,Tap,Boiling,3.99,7.61,1.02,5.27,18.74,14.51,4167,70.24,64
201,USA,Central,2017,Well,Filtration,1.85,7.5,1.4,3.61,9.48,9.62,1022,72.52,428
202,Pakistan,West,2019,Pond,,3.95,6.88,2.82,7.31,0.75,11.13,4627,95.12,342
203,Bangladesh,South,2023,Pond,Filtration,1.75,7.11,0.37,4.8,3.53,16.83,2286,40.57,289
204,China,North,2023,Pond,Boiling,8.49,6.16,2.41,6.72,8.59,4.14,2758,75.73,355
205,Brazil,East,2014,Well,Filtration,2.98,7.99,4.48,9.59,1.27,19.78,4672,56.65,456
206,Brazil,North,2010,Well,,5.99,6.6,0.94,7.01,16.79,18.0,3771,58.06,135
207,China,East,2011,Pond,,5.03,7.15,1.66,9.47,2.24,5.73,1112,65.13,249
208,Ethiopia,East,2008,Well,Filtration,0.52,7.2,1.98,5.75,34.61,17.86,1945,46.36,497
209,China,South,2012,Well,Boiling,9.42,7.4,2.93,7.43,40.95,15.08,4808,62.28,93
210,China,South,2014,Lake,Boiling,5.27,8.04,4.6,9.26,44.37,18.62,1558,78.08,47
211,Brazil,North,2014,River,Boiling,3.25,7.73,1.97,7.12,27.46,13.82,3879,62.0,419
212,Mexico,East,2004,Spring,Boiling,1.58,7.66,0.35,7.3,47.33,13.49,641,32.98,99
213,Brazil,North,2022,Well,Chlorination,3.39,7.32,1.74,8.01,0.28,0.07,2237,48.05,337
214,Pakistan,West,2018,Spring,Chlorination,0.21,6.24,0.95,9.17,6.7,9.49,4907,54.6,193
215,USA,North,2019,Spring,Filtration,3.64,7.01,3.26,3.62,14.66,4.01,3486,54.83,116
216,Indonesia,Central,2024,Lake,Chlorination,5.31,8.39,0.15,5.36,39.45,6.48,3225,35.67,266
217,Mexico,North,2013,Well,Chlorination,8.72,8.49,1.46,5.78,44.27,19.58,1014,61.47,307
218,India,Central,2016,Pond,Chlorination,6.87,7.83,2.73,9.37,30.91,1.71,2021,78.44,163
219,Indonesia,Central,2017,Spring,Filtration,1.12,6.57,1.39,9.69,19.16,14.45,2676,33.41,478
220,USA,Central,2020,Well,Chlorination,1.48,6.25,2.75,3.84,33.29,3.46,1540,82.56,286
221,Pakistan,West,2002,Tap,Boiling,4.28,7.04,0.57,3.83,9.04,0.15,2936,96.86,23
222,Pakistan,North,2001,Pond,Boiling,1.96,8.14,4.71,9.54,22.89,10.03,3106,30.65,493
223,India,North,2000,Tap,Filtration,0.28,7.8,1.45,5.07,25.38,3.22,783,43.56,404
224,Mexico,West,2009,Tap,Filtration,8.05,8.21,4.62,4.69,5.24,19.31,670,68.04,95
225,Ethiopia,East,2018,Spring,Filtration,0.2,7.54,1.63,3.25,1.69,4.07,2769,45.26,496
226,China,South,2016,Tap,,8.31,6.33,3.91,4.93,37.51,3.84,2573,83.52,253
227,Mexico,North,2011,Lake,Chlorination,1.44,6.29,1.23,7.85,26.74,0.64,2584,51.85,413
228,Ethiopia,South,2000,Lake,Filtration,9.75,6.12,3.35,5.98,16.61,6.6,4942,50.55,120
229,Pakistan,West,2011,Spring,Filtration,6.04,7.42,1.62,6.62,21.86,0.48,1277,30.06,71
230,Brazil,East,2016,Well,Filtration,7.35,6.61,2.55,9.42,47.89,9.98,3043,48.91,352
231,USA,East,2023,River,Boiling,1.1,7.84,3.37,3.8,19.25,10.11,3172,45.24,370
232,India,East,2002,Well,Filtration,8.62,7.72,2.94,3.5,5.17,1.06,3782,54.03,63
233,USA,West,2010,Well,Boiling,8.39,6.8,2.88,8.96,23.18,4.8,177,40.34,242
234,Nigeria,Central,2016,Well,Boiling,6.53,6.44,0.33,8.42,32.4,16.64,275,71.63,126
235,Nigeria,Central,2022,Well,,5.02,6.26,1.25,4.85,0.61,9.25,2359,46.71,372
236,Mexico,South,2002,Pond,Filtration,7.21,7.84,2.86,5.27,16.62,8.69,3481,88.22,38
237,Pakistan,Central,2007,River,,0.06,7.13,0.09,5.17,19.68,13.98,4886,49.92,384
238,Pakistan,Central,2019,Pond,Filtration,5.92,6.81,1.25,7.53,23.19,14.3,3359,44.76,352
239,China,East,2003,Tap,Chlorination,8.47,8.14,1.15,3.43,15.08,15.24,1424,33.97,425
240,China,East,2020,Well,Filtration,3.57,7.48,1.25,6.43,33.35,16.61,4122,81.79,76
241,China,South,2021,Lake,Filtration,1.08,7.3,2.68,3.94,47.24,4.65,2960,65.57,469
242,Brazil,North,2006,Spring,Filtration,4.21,7.86,2.91,8.74,45.7,1.33,2469,37.96,4
243,Indonesia,South,2013,Spring,Filtration,7.27,8.04,4.54,5.66,33.22,7.61,3085,45.49,139
244,Bangladesh,South,2013,Pond,Filtration,1.07,7.72,1.93,6.69,25.34,17.1,2372,99.91,251
245,Indonesia,West,2003,Pond,Filtration,2.06,7.1,4.63,3.21,41.29,1.56,4068,86.42,156
246,USA,West,2015,Lake,,1.48,6.95,3.26,3.41,41.8,11.52,1590,54.49,258
247,Indonesia,South,2023,Well,Chlorination,7.97,7.93,4.56,7.73,41.48,14.02,4380,67.98,316
248,Brazil,South,2021,River,,0.63,7.29,4.17,8.37,7.89,9.63,1112,59.12,434
249,USA,South,2000,Tap,Chlorination,6.87,7.76,3.44,7.97,1.27,5.1,1068,32.55,419
250,Indonesia,Central,2016,Spring,,3.66,8.23,1.78,8.16,49.16,6.53,2545,84.51,366
251,Brazil,West,2024,Tap,,7.56,8.29,1.21,3.73,47.98,1.43,3649,80.19,236
252,Bangladesh,South,2009,River,Filtration,9.64,6.69,1.11,7.85,28.22,5.85,1814,58.62,74
253,Indonesia,East,2021,Pond,,1.15,6.47,4.76,4.27,49.65,0.89,3907,89.21,473
254,Brazil,East,2015,Spring,Chlorination,3.14,6.65,4.79,3.69,38.53,14.53,3731,67.43,385
255,China,Central,2015,Tap,Boiling,8.1,7.88,3.62,8.3,25.87,17.96,2192,34.56,28
256,Pakistan,Central,2007,Pond,Chlorination,2.66,6.93,4.42,9.23,19.47,12.67,81,48.16,40
257,China,North,2006,River,,2.15,6.43,4.59,8.02,29.64,13.13,3706,62.32,28
258,Pakistan,North,2005,Tap,Boiling,8.25,6.25,2.56,8.64,25.79,9.44,3176,37.24,491
259,India,North,2015,Well,Filtration,9.87,6.82,3.15,9.94,49.69,3.12,1825,69.98,99
260,India,Central,2019,Pond,Boiling,5.57,6.34,2.09,3.94,24.52,0.15,81,38.44,319
